CUSIP,Ticker,Company,Shares,Delta_Shares,Value,Delta_Value,Delta,Portfolio%
H2906T109,GRMN,GARMIN LTD,32363,32363,7.97M,7.97M,NEW,0.2%
09260D107,BX,BLACKSTONE INC,99715,44731,17.04M,7.64M,+81.4%,0.43%
852234103,XYZ,BLOCK INC,101533,101533,7.34M,7.34M,NEW,0.18%
G3643J108,FLUT,FLUTTER ENTMT PLC,28499,28499,7.24M,7.24M,NEW,0.18%
009066101,ABNB,AIRBNB INC,58303,58303,7.08M,7.08M,NEW,0.18%
87612E106,TGT,TARGET CORP,205636,78095,18.45M,7.01M,+61.2%,0.46%
G32089107,ETOR,ETORO GROUP LTD,168878,168878,6.97M,6.97M,NEW,0.17%
876030107,TPR,TAPESTRY INC,305000,60060,34.53M,6.8M,+24.5%,0.87%
910047109,UAL,UNITED AIRLS HLDGS INC,69945,69945,6.75M,6.75M,NEW,0.17%
285512109,EA,ELECTRONIC ARTS INC,33216,33216,6.7M,6.7M,NEW,0.17%
91332U101,U,UNITY SOFTWARE INC,166906,166906,6.68M,6.68M,NEW,0.17%
29786A106,ETSY,ETSY INC,95782,95782,6.36M,6.36M,NEW,0.16%
46266C105,IQV,IQVIA HLDGS INC,32537,32537,6.18M,6.18M,NEW,0.15%
303250104,FICO,FAIR ISAAC CORP,4063,4061,6.08M,6.08M,+203050%,0.15%
169656105,CMG,CHIPOTLE MEXICAN GRILL INC,151138,151138,5.92M,5.92M,NEW,0.15%
517834107,LVS,LAS VEGAS SANDS CORP,109997,109997,5.92M,5.92M,NEW,0.15%
148929102,CAVA,CAVA GROUP INC,102161,97268,6.17M,5.88M,+1987.9%,0.15%
654106103,NKE,NIKE INC,470966,83254,32.84M,5.81M,+21.5%,0.82%
820014405,SBET,SHARPLINK GAMING INC,331196,331196,5.63M,5.63M,NEW,0.14%
25809K105,DASH,DOORDASH INC,20668,20665,5.62M,5.62M,+688833.3%,0.14%
36165L108,GDS,GDS HLDGS LTD,143560,143560,5.56M,5.56M,NEW,0.14%
151290889,CX,CEMEX SAB DE CV,615868,615868,5.54M,5.54M,NEW,0.14%
36828A101,GEV,GE VERNOVA INC,8949,8946,5.5M,5.5M,+298200%,0.14%
92840M102,VST,VISTRA CORP,27820,27820,5.45M,5.45M,NEW,0.14%
550021109,LULU,LULULEMON ATHLETICA INC,145046,29658,25.81M,5.28M,+25.7%,0.65%
G4365E103,HCMA,HCM III ACQUISITION CORP,499999,499999,5.05M,5.05M,NEW,0.13%
165167735,EXE,EXPAND ENERGY CORPORATION,74846,46941,7.95M,4.99M,+168.2%,0.2%
423452101,HP,HELMERICH &amp; PAYNE INC,224815,224815,4.97M,4.97M,NEW,0.12%
63845R107,EYE,NATIONAL VISION HLDGS INC,166343,166343,4.86M,4.86M,NEW,0.12%
58733R102,MELI,MERCADOLIBRE INC,2700,2069,6.31M,4.84M,+327.9%,0.16%
91531W106,TIGR,UP FINTECH HLDG LTD,450401,450401,4.81M,4.81M,NEW,0.12%
46438F101,IBIT,ISHARES BITCOIN TRUST ETF,73622,73622,4.79M,4.79M,NEW,0.12%
70450Y103,PYPL,PAYPAL HLDGS INC,228640,68486,15.33M,4.59M,+42.8%,0.38%
83304A106,SNAP,SNAP INC,564650,564650,4.35M,4.35M,NEW,0.11%
679295105,OKTA,OKTA INC,55164,45849,5.06M,4.2M,+492.2%,0.13%
31428X106,FDX,FEDEX CORP,17558,17558,4.14M,4.14M,NEW,0.1%
24665A103,DK,DELEK US HLDGS INC NEW,189306,127753,6.11M,4.12M,+207.5%,0.15%
